dos_ID,aST,aET,FE_PC2,FE_PC4,FE_PC5,FE_PC6,FV_PC2,FV_PC4,FV_PC5,FV_PC6,CDE_PC2,CDE_PC4,CDE_PC5,CDE_PC6,CDV_PC2,CDV_PC4,CDV_PC5,CDV_PC6,CV_PC2,CV_PC4,CV_PC5,CV_PC6,SDE,DDE,LDE
VA00000189T,5/17/2017,5/20/2017,,,,,,,,,,,,,,,,,,,,,,,
VA000002825,5/16/2017,5/18/2017,,,,,,,,,,,,,,,,,,,,,,,
VA000003055,5/16/2017,5/18/2017,,,,,,,,,,,,,,,,,,,,,,,
VA00000309X,5/18/2017,5/20/2017,,,,,,,,,,,,,,,,,,,,,,,
VA000003261,5/16/2017 17:00,5/17/2017 20:00,,,,,,,,,,,,,,,,,,,,,,,
VA000004029,5/16/2017 5:00,5/17/2017 22:00,,,,,,,,,,,,,,,,,,,,,,,
VA000005431,4/25/2017 4:32,4/26/2017 3:33,,,,,,,,,,,,,,,,,,,,,,,
VA000005514,4/26/2017 10:30,4/27/2017 9:31,,,,,,,,,,,,,,,,,,,,,,,
VA00000557S,5/15/2017 4:00,5/18/2017 22:00,,,,,,,,,,,,,,,,,,,,,,,
VA00000564X,4/25/2017 5:33,4/26/2017 4:34,,,,,,,,,,,,,,,,,,,,,,,
VA000005712,4/21/2017 10:40,4/22/2017 9:41,,,,,,,,,,,,,,,,,,,,,,,
VA00000573Y,4/21/2017 7:28,4/22/2017 6:29,,,,,,,,,,,,,,,,,,,,,,,
VA00000577Q,4/27/2017 18:29,4/28/2017 17:30,,,,,,,,,,,,,,,,,,,,,,,
VA000005803,4/25/2017 6:11,4/26/2017 5:12,,,,,,,,,,,,,,,,,,,,,,,
VA00000863T,5/16/2017 2:00,5/17/2017 12:00,,,,,,,,,,,,,,,,,,,,,,,
VA00000871W,5/15/2017 21:00,5/19/2017 0:00,,,,,,,,,,,,,,,,,,,,,,,
VA00000884P,5/18/2017 5:00,5/20/2017 1:00,,,,,,,,,,,,,,,,,,,,,,,
