dos_ID,tcST,tcET,fcST,fcET,scST,scET,AVGwin,dDE,abST,S_PC2,S_PC4,S_PC5,S_PC6
VA00000285Z,2017-05-11 19:34:42,2017-05-24 07:34:42,2017-05-11 19:34:42,2017-05-24 07:34:42,2017-05-11 19:34:42,2017-05-24 07:34:42,10.00,1000.00,2017-05-10 15:17:08,,,,
VA00000297U,2017-05-11 16:07:56,2017-05-24 04:07:56,2017-05-11 16:07:56,2017-05-24 04:07:56,2017-05-11 16:07:56,2017-05-24 04:07:56,10.00,1000.00,2017-03-21 12:33:21,,,,
VA00000320D,2017-05-11 21:21:22,2017-05-24 09:21:22,2017-05-11 21:21:22,2017-05-24 09:21:22,2017-05-11 21:21:22,2017-05-24 09:21:22,10.00,1000.00,2017-03-21 12:58:02,,,,
VA00000350A,2017-05-11 16:47:37,2017-05-24 04:47:37,2017-05-11 16:47:37,2017-05-24 04:47:37,2017-05-11 16:47:37,2017-05-24 04:47:37,10.00,1000.00,2017-03-17 11:06:27,,,,
VA000003526,2017-05-11 19:43:03,2017-05-24 07:43:03,2017-05-11 19:43:03,2017-05-24 07:43:03,2017-05-11 19:43:03,2017-05-24 07:43:03,10.00,1000.00,2017-03-17 10:46:01,,,,
VA000003625,2017-05-11 17:06:40,2017-05-24 05:06:40,2017-05-11 17:06:40,2017-05-24 05:06:40,2017-05-11 17:06:40,2017-05-24 05:06:40,10.00,1000.00,2017-03-17 11:09:32,,,,
VA000004631,2017-05-11 16:20:49,2017-05-24 04:20:49,2017-05-11 16:20:49,2017-05-24 04:20:49,2017-05-11 16:20:49,2017-05-24 04:20:49,10.00,1000.00,2017-05-10 16:24:51,,,,
VA00000664V,2017-05-11 16:25:27,2017-05-24 04:25:27,2017-05-11 16:25:27,2017-05-24 04:25:27,2017-05-11 16:25:27,2017-05-24 04:25:27,10.00,1000.00,2017-03-17 14:03:14,,,,
VA00000683V,2017-05-11 19:42:35,2017-05-24 07:42:35,2017-05-11 19:42:35,2017-05-24 07:42:35,2017-05-11 19:42:35,2017-05-24 07:42:35,10.00,1000.00,2000-01-01 01:02:59,,,,
VA00000684T,2017-05-11 17:24:24,2017-05-24 05:24:24,2017-05-11 17:24:24,2017-05-24 05:24:24,2017-05-11 17:24:24,2017-05-24 05:24:24,10.00,1000.00,2017-05-10 15:48:05,,,,
VA00000685R,2017-05-11 17:47:09,2017-05-24 05:47:09,2017-05-11 17:47:09,2017-05-24 05:47:09,2017-05-11 17:47:09,2017-05-24 05:47:09,10.00,1000.00,2017-05-10 16:52:21,,,,
VA00000686P,2017-05-11 16:39:26,2017-05-24 04:39:26,2017-05-11 16:39:26,2017-05-24 04:39:26,2017-05-11 16:39:26,2017-05-24 04:39:26,10.00,1000.00,2017-05-10 15:38:36,,,,
VA00000687N,2017-05-11 16:56:19,2017-05-24 04:56:19,2017-05-11 16:56:19,2017-05-24 04:56:19,2017-05-11 16:56:19,2017-05-24 04:56:19,10.00,1000.00,2017-05-10 17:00:39,,,,
