dos_ID,tcST,tcET,fcST,fcET,scST,scET,abST,AVGwin,dDE,K_PC2,K_PC4,K_PC5,K_PC6,A_PC2,A_PC4,A_PC5,A_PC6,B_PC2,B_PC4,B_PC5,B_PC6,C_PC2,C_PC4,C_PC5,C_PC6,VB_PC2,VB_PC4,VB_PC5,VB_PC6,VBA_PC2,VBA_PC4,VBA_PC5,VBA_PC6,S_PC2,S_PC4,S_PC5,S_PC6,SAF_PC2,SAF_PC4,SAF_PC5,SAF_PC6,BRad,BRAF_PC2,BRAF_PC4,BRAF_PC5,BRAF_PC6,CDF_PC2,CDF_PC4,CDF_PC5,CDF_PC6,SSwin,MRD
VA000004144,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,7/30/2017 0:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 22:58,5,3000,67.56594486,123.8921499,127.9152868,104.3175723,8.27111328,34.03564267,91.7779422,83.26899306,5164.41319,4831.47486,4270.894439,4191.986622,267511.9317,275293.9783,271552.56,273737.4072,500,500,500,500,10,10,10,10,0.091625555,0.092813964,0.096418983,0.091381971,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA000004227,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,7/30/2017 0:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 23:18,5,3000,79.71348622,115.9507966,117.6578851,121.6186749,7.726703796,51.33340759,218.9812552,212.6422323,5126.945101,4449.426829,3738.692678,3731.098277,262496.3335,271686.3162,273652.3852,269763.7037,500,500,500,500,10,10,10,10,0.093378741,0.093742218,0.091708971,0.091259179,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA00000447V,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,7/30/2017 0:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 23:30,5,3000,89.35371255,131.6898564,113.6836249,136.0506618,-809.6710538,10.0787622,36.94869585,77.07555603,2473.647893,4807.375315,3204.92756,3811.854133,260075.8269,271589.1564,271097.349,270853.6938,500,500,500,500,10,10,10,10,0.100303216,0.09533979,0.095046048,0.0927007,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA000004623,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,7/30/2017 0:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 23:15,5,3000,84.52929054,125.6063281,146.7369702,124.0305738,11.5797073,87.43908538,268.1024509,240.7148995,4999.543759,4227.016914,3756.660141,3736.616562,262776.6448,271212.6464,268846.0192,272856.1622,500,500,500,500,10,10,10,10,0.093021664,0.09712439,0.093727995,0.090455524,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA00000464Z,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,7/30/2017 0:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 23:10,5,3000,82.20432774,146.0492794,124.131329,119.8325611,3.848151086,56.7501618,94.66725777,82.69194553,5634.474027,4640.101261,4264.536336,4303.416006,264583.083,275221.2963,275095.9577,274727.7581,500,500,500,500,10,10,10,10,0.094375128,0.094152999,0.097705444,0.088305693,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA00000486T,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,7/30/2017 0:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 22:52,5,3000,87.56291895,126.8918888,146.9148124,136.442481,5.025772211,41.99867603,195.0380089,157.8119035,5470.635985,4658.489455,3959.947428,4008.584505,256283.6548,265403.5951,266344.1087,266245.4887,500,500,500,500,10,10,10,10,0.095832101,0.092085253,0.094403063,0.091630871,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA00000493Y,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,7/30/2017 0:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 23:02,5,3000,94.42605172,120.4221302,125.3382931,144.0920844,6.450930739,68.95089808,153.2457786,189.2584311,5330.342311,4372.355395,3953.444355,3939.785876,252508.8721,266780.1217,263934.7847,263762.5791,500,500,500,500,10,10,10,10,0.097862358,0.089559664,0.091739782,0.091078862,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA00000516Y,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,7/30/2017 0:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 22:44,5,3000,101.9914737,152.0123742,134.9708513,149.455645,-1882.977559,0.093564668,17.0091337,8.511923239,2099.159576,7497.583113,4690.156352,5058.300942,254037.5199,264321.9409,271755.1869,265062.9515,500,500,500,500,10,10,10,10,0.10339024,0.099887061,0.099759961,0.096997655,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA00000525Z,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,7/30/2017 0:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 23:27,5,3000,86.84330746,126.9341671,147.4671843,145.7002604,19.18467256,117.774399,212.8291225,263.5494024,4714.114941,4062.731817,3818.69765,3760.06495,261458.128,271718.8051,264073.8484,270279.3945,500,500,500,500,10,10,10,10,0.096471194,0.09231501,0.099043942,0.091725929,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA00000529R,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,7/30/2017 0:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 23:33,5,3000,91.36292567,135.0588921,123.0935184,146.4848283,-9230.136949,-696.4168604,29.28994466,55.57009653,1291.435366,-136478.7023,4191.022244,4128.875944,261999.9473,272068.4138,274077.7713,271503.8041,500,500,500,500,10,10,10,10,0.099869708,0.0954098,0.092160276,0.093936499,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
