dos_ID,CV_PC2,CV_PC4,CV_PC5,CV_PC6
VA00000189T,305788.1597,236507.9754,236526.4146,196515.0762
VA00000278U,69.77972716,99.86100947,238.9189346,33.3439779
VA000002825,1588.637948,1339.730533,1308.414832,1290.511876
VA00000299Q,1481.450239,2110.591715,2142.849906,1174.86187
VA00000299Q,866.1732798,874.0818648,850.4647206,834.8364905
VA00000299Q,636.9758528,1276.110163,1313.714242,363.207511
VA00000300F,1,1,1,1
VA000003055,289.672535,286.778579,307.4720553,300.4884692
VA00000309X,72781.16673,56958.70038,57160.40354,48359.57523
VA000003154,539.2557705,1679.644409,1701.35388,419.8992243
VA000003154,188.4728729,266.269572,251.6745368,241.6083419
VA000003154,354.1465732,1406.664348,1436.447699,180.63952
VA00000319W,757.6690054,810.367381,769.4835972,785.7191354
VA000003261,296.8635966,2566.939685,2787.383983,130.343526
VA00000377U,2395.847526,4855.357017,4932.558113,1244.783145
VA000004029,2243.107664,1977.36427,1915.690044,1826.84281
VA00000495U,1,1,1,1
VA000005134,334.5081671,256.7748158,239.404662,231.6656148
VA000005431,14711.0409,14547.48781,14558.65238,14989.83165
VA000005506,916.8796471,847.1443806,822.3134034,858.9651274
VA000005506,625.8980639,557.5587272,562.9588917,569.2976901
VA000005506,335.4324953,356.1210351,345.3168645,346.0984593
VA000005514,2931.601063,7112.036345,7368.419319,1438.140202
VA00000557S,10747.1858,10971,10844.21469,10931.00188
VA000005613,572.733681,395.2562059,433.0290084,431.9302018
VA000005621,512103.3692,403849.8996,409124.5195,349658.6897
VA00000563Z,1,1,1,1
VA00000564X,1094.57018,1113.524488,1104.242424,1087.510069
VA000005712,36672.04022,36776.48951,35972.29247,36574.23472
VA00000573Y,38746.36915,37149.95428,38097.61879,38632.90736
VA00000577Q,73094.59485,53819.40262,52777.22696,42002.18393
VA00000579M,469.1111845,819.4675999,867.8666213,286.4067236
VA000005803,1131.65393,1134.122185,1105.923895,1102.68311
VA00000583X,1488.734282,2076.763876,2146.329924,1029.202478
VA00000583X,570.5721422,572.6230088,592.6476929,632.4553221
VA00000583X,920.5563901,1508.865592,1557.376642,402.8658956
VA00000625X,1070.434043,1074.636471,1088.306518,1111.052273
VA00000860Z,1145.748138,1506.843287,1432.265935,1507.833668
VA00000863T,1116.732551,1142.587917,1148.630302,1157.637594
VA00000864R,15376.96941,15403.31244,15459.34817,15775.72099
VA00000866N,2736.318645,2123.133761,2193.250062,2110.602832
VA00000869H,40561.89455,31396.23304,33196.5362,24835.72913
VA00000870Y,170421.67,133348.2419,138025.5481,109129.1744
VA00000871W,51909.67051,52857.78598,52074.4532,51703.14282
VA00000875O,47574.8706,48001.44298,47851.35084,49524.25942
VA00000877K,99171.48046,98860.76874,100124.9088,101629.5122
VA00000878I,392.912379,381.5766297,387.6891118,409.9852816
VA00000880X,21.42610204,1,23.35235223,23.63832428
VA00000882T,1,1,1,1
VA00000884P,183722.0439,149849.1866,112779.9242,124842.6428
